NAME,Symbol,Market Value (millions)
"NEXEN, INC.",NXY,"$14,979.70"
REYNOLDS AMERICAN INC,RAI,"$14,907.30"
"GANNETT CO., INC.",GCI,"$14,825.30"
"LEGG MASON, INC.",LM,"$14,787.50"
KRAFT FOODS INC.,KFT,"$14,764.60"
OMNICOM GROUP INC.,OMC,"$14,747.60"
MELLON FINANCIAL CORPORATION,MEL,"$14,747.30"
"HARLEY-DAVIDSON, INC.",HDI,"$14,700.20"
"AMERICAN ELECTRIC POWER COMPANY, INC.",AEP,"$14,692.30"
CHICAGO MERCANTILE EXCHANGE HOLDINGS,CME,"$14,591.50"
"ANALOG DEVICES, INC.",ADI,"$14,588.90"
"AGILENT TECHNOLOGIES, INC.",A,"$14,539.30"
ENTERGY CORPORATION,ETR,"$14,421.90"
AMERADA HESS CORPORATION,AHC,"$14,401.80"
KEYCORP,KEY,"$14,390.40"
WOLSELEY PLC,WOS,"$14,377.90"
"BEAR STEARNS COMPANIES, INC (THE)",BSC,"$14,329.70"
SANTA FE INTERNATIONAL CORPORATION,GSF,"$14,327.40"
TELECOM ITALIA S P A NEW,TI/A,"$14,294.00"
EDISON INTERNATIONAL,EIX,"$14,277.00"
"WILLIAMS COMPANIES, INC. (THE)",WMB,"$14,042.80"
AB VOLVO,VOLVY,"$14,026.30"
"YUM! BRANDS, INC.",YUM,"$14,003.10"
PACIFIC GAS & ELECTRIC CO.,PCG,"$13,982.10"
ICICI BANK LIMITED,IBN,"$13,970.80"
"P.T. TELEKOMUNIKASI INDONESIA, TBK.",TLK,"$13,950.70"
MARRIOT INTERNATIONAL,MAR,"$13,885.80"
SARA LEE CORPORATION,SLE,"$13,884.40"
AKZO NOBEL N.V.,AKZOY,"$13,852.40"
CAMECO CORPORATION,CCJ,"$13,797.50"
"PAYCHEX, INC.",PAYX,"$13,776.20"
"AIR PRODUCTS AND CHEMICALS, INC.",APD,"$13,711.40"
"COACH, INC.",COH,"$13,663.40"
GENERAL MOTORS CORPORATION,GM,"$13,606.40"
SYNGENTA AG,SYT,"$13,583.20"
"HARRAH'S ENTERTAINMENT, INC.",HET,"$13,526.10"
"ENTERGY MISSISSIPPI, INC.",EMQ,"$13,483.80"
ISHARES S&P 500 INDEX FUND,IVV,"$13,458.50"
"MAXIM INTEGRATED PRODUCTS, INC.",MXIM,"$13,453.50"
"JOHNSON CONTROLS, INC.",JCI,"$13,446.40"
BOC GROUP PLC (THE),BOX,"$13,415.20"
KROGER COMPANY (THE),KR,"$13,348.90"
"STARWOOD HOTELS & RESORTS WORLDWIDE, INC.",HOT,"$13,331.60"
XEROX CORPORATION,XRX,"$13,325.30"
TELKOM SA LTD,TKG,"$13,317.10"
"EXPRESS SCRIPTS, INC.",ESRX,"$13,294.90"
SCHERING AKTIENGESELLSCHAFT,SHR,"$13,279.40"
"NATIONAL-OILWELL, INC.",NOV,"$13,259.10"
SOUTHWEST AIRLINES COMPANY,LUV,"$13,233.80"
PRINCIPAL FINANCIAL GROUP INC,PFG,"$13,211.90"
WPP GROUP PLC,WPPGY,"$13,197.10"
NIDEC CORPORATION (NIHON DENSAN KABUSHIKI KAISHA),NJ,"$13,190.40"
ELECTRONIC DATA SYSTEMS CORPORATION,EDS,"$13,137.60"
PEABODY ENERGY CORPORATION,BTU,"$13,135.30"
BJ SERVICES COMPANY,BJS,"$13,110.70"
NUCOR CORPORATION,NUE,"$13,107.80"
NORTEL NETWORKS CORPORATION,NT,"$13,004.60"
INGERSOLL-RAND COMPANY,IR,"$12,991.90"
"AVON PRODUCTS, INC.",AVP,"$12,981.70"
UNITED MICROELECTRONICS CORPORATION,UMC,"$12,966.40"
"SUNOCO, INC.",SUN,"$12,959.10"
"J.C. PENNEY COMPANY, INC. HOLDING COMPANY",JCP,"$12,959.00"
CHESAPEAKE ENERGY CORPORATION,CHK,"$12,957.80"
TURKCELL ILETISIM HIZMETLERI AS,TKC,"$12,924.40"
EQUITY OFFICE PROPERTIES TRUST,EOP,"$12,924.30"
RESEARCH IN MOTION LIMITED,RIMM,"$12,903.70"
COMPANHIA DE BEBIDAS DAS AMERICAS - AMBEV,ABV,"$12,851.90"
KERR-MCGEE CORPORATION,KMG,"$12,828.60"
SOUTHERN PERU COPPER CORPORATION,PCU,"$12,823.60"
"NABORS INDUSTRIES, INC.",NBR,"$12,795.00"
TENNESSEE VALLEY AUTHORITY,TVE,"$12,757.50"
AMERICAN TOWER CORPORATION,AMT,"$12,741.60"
SEAGATE TECHNOLOGY HOLDINGS,STX,"$12,682.70"
TELE DANMARK A/S,TLD,"$12,656.30"
KUBOTA CORPORATION,KUB,"$12,626.40"
"ELECTRICIDADE DE PORTUGAL, S.A.",EDP,"$12,571.70"
MASCO CORPORATION,MAS,"$12,565.70"
GENWORTH FINANCIAL INC,GNW,"$12,509.30"
NEC CORPORATION,NIPNY,"$12,501.70"
PROLOGIS,PLD,"$12,471.90"
VORNADO REALTY TRUST,VNO,"$12,415.70"
SANDISK CORPORATION,SNDK,"$12,402.00"
CAMPBELL SOUP COMPANY,CPB,"$12,378.80"
SEMPRA ENERGY,SRE,"$12,353.10"
"GENERAL GROWTH PROPERTIES, INC.",GGP,"$12,319.70"
ADVANTEST CORPORATION (KABUSHIKI KAISHA ADVANTEST) ADS,ATE,"$12,261.30"
"NORTH FORK BANCORPORATION, INC.",NFB,"$12,234.50"
EQUITY RESIDENTIAL,EQR,"$12,221.10"
WM. WRIGLEY JR. COMPANY,WWY,"$12,221.00"
TRANSCANADA CORP,TCA^,"$12,193.20"
REED ELSEVIER PLC,RUK,"$12,157.60"
M&T BANK CORPORATION,MTB,"$12,146.90"
"KIRIN BREWERY COMPANY, LIMITED",KNBWY,"$12,084.60"
TELEKOM AUSTRIA AG,TKA,"$12,075.00"
CELGENE CORPORATION,CELG,"$12,067.70"
INTERNATIONAL GAME TECHNOLOGY,IGT,"$12,040.90"
"KONINKLIJKE AHOLD, N.V.",AHO,"$12,036.70"
KOREA TELECOM CORPORATION,KTC,"$12,026.30"
"FREEPORT-MCMORAN COPPER & GOLD, INC.",FCX,"$12,014.80"
COMPANHIA DE BEBIDAS DAS AME,ABV/C,"$11,988.50"
"LUXOTTICA GROUP, S.P.A.",LUX,"$11,962.30"
CARNIVAL PLC ADS,CUK,"$11,902.40"
XL CAPITAL LIMITED,XL,"$11,801.40"
PACCAR INC.,PCAR,"$11,782.70"
"LUCENT TECHNOLOGIES, INC.",LU,"$11,771.80"
"PORTUGAL TELECOM SGPS, S.A .",PT,"$11,769.80"
"TJX COMPANIES, INC. (THE)",TJX,"$11,761.40"
"KINDER MORGAN, INC.",KMI,"$11,748.80"
RINKER GROUP LIMITED,RIN,"$11,709.90"
ROCKWELL AUTOMATION INC,ROK,"$11,709.70"
"D.R. HORTON, INC.",DHI,"$11,684.20"
